iter	Passed	Remaining
401	28296	6898
402	28331	6819
403	28369	6741
404	28416	6665
405	28463	6590
406	28503	6513
407	28576	6443
408	28649	6374
409	28720	6304
410	28799	6236
411	28869	6166
412	29014	6112
413	29060	6036
414	29097	5959
415	29135	5883
416	29182	5808
417	29225	5733
418	29299	5664
419	29384	5596
420	29488	5533
421	29556	5463
422	29626	5393
423	29796	5340
424	29838	5265
425	29882	5190
426	29928	5116
427	29971	5042
428	30033	4970
429	30112	4902
430	30196	4834
431	30283	4766
432	30387	4701
433	30494	4637
434	30533	4562
435	30580	4488
436	30627	4415
437	30667	4341
438	30709	4267
439	30784	4197
440	30856	4128
441	30932	4058
442	31002	3989
443	31086	3920
444	31162	3851
445	31248	3783
446	31326	3714
447	31396	3644
448	31467	3574
449	31535	3503
450	31606	3433
451	31685	3364
452	31758	3295
453	31829	3224
454	31904	3155
455	31974	3085
456	32045	3015
457	32122	2945
458	32199	2876
459	32270	2806
460	32344	2736
461	32415	2666
462	32508	2597
463	32593	2528
464	32666	2458
465	32741	2388
466	32822	2319
467	32909	2250
468	32979	2179
469	33054	2109
470	33138	2040
471	33232	1971
472	33317	1901
473	33426	1833
474	33519	1764
475	33608	1694
476	33687	1624
477	33734	1552
478	33772	1480
479	33812	1408
480	33868	1337
481	33916	1266
482	33962	1195
483	34004	1124
484	34077	1053
485	34163	984
486	34245	914
487	34330	844
488	34412	774
489	34504	704
490	34577	633
491	34646	563
492	34719	492
493	34801	422
494	34891	352
495	34989	282
496	35068	211
497	35147	141
498	35239	70
499	35320	0
