iter	MAE
0	166.8808879
1	165.9294409
2	165.0492769
3	164.0301447
4	162.9735891
5	161.9609529
6	160.9220526
7	160.015593
8	159.1284734
9	158.1916294
10	157.2646866
11	156.4332889
12	155.6751311
13	154.7565166
14	153.9060201
15	153.0052348
16	152.1503666
17	151.3326321
18	150.5712266
19	149.722028
20	148.8531165
21	148.0811337
22	147.2843983
23	146.4387122
24	145.7098263
25	145.0042552
26	144.3594607
27	143.5552682
28	142.8922196
29	142.1317157
30	141.4216194
31	140.6845502
32	139.9777225
33	139.3746779
34	138.8254247
35	138.1796638
36	137.5326587
37	136.8279818
38	136.1803501
39	135.5288325
40	134.8635468
41	134.1768514
42	133.477856
43	132.9474173
44	132.284123
45	131.6434006
46	131.0692681
47	130.5364821
48	129.8130207
49	129.2589258
50	128.6595542
51	128.0521026
52	127.4621095
53	126.8884169
54	126.2264773
55	125.6545312
56	125.1037186
57	124.5309265
58	123.9716044
59	123.3536918
60	122.8301963
61	122.3384248
62	121.8077904
63	121.3507841
64	120.8228717
65	120.3344396
66	119.8220307
67	119.4247441
68	118.9179902
69	118.477043
70	117.9748247
71	117.4875965
72	117.0002591
73	116.4737223
74	116.0754525
75	115.6477867
76	115.1705595
77	114.737139
78	114.3253497
79	113.9218835
80	113.5208486
81	113.0875772
82	112.6919086
83	112.2081864
84	111.8138403
85	111.4433467
86	111.0722898
87	110.6869017
88	110.3275165
89	109.9884346
90	109.6198385
91	109.2332682
92	108.9028341
93	108.6243868
94	108.3024975
95	107.9882556
96	107.6906658
97	107.3860342
98	107.0604822
99	106.7977357
100	106.5256705
101	106.2430086
102	105.8853711
103	105.5458219
104	105.2355841
105	104.8391815
106	104.5056492
107	104.1919626
108	103.8696868
109	103.6134727
110	103.368534
111	103.1203941
112	102.8276127
113	102.5283421
114	102.2905982
115	102.0637351
116	101.8345742
117	101.6307177
118	101.4177456
119	101.128465
120	100.8864298
121	100.6983797
122	100.4586593
123	100.2192096
124	99.94105566
125	99.72122123
126	99.48078986
127	99.23076994
128	99.02192328
129	98.76973349
130	98.55660732
131	98.32724179
132	98.08242679
133	97.88785463
134	97.67699677
135	97.47908028
136	97.24396048
137	97.07503302
138	96.93347425
139	96.69515045
140	96.49671208
141	96.22059668
142	96.05226944
143	95.86108978
144	95.67931963
145	95.46883933
146	95.24881569
147	95.0588472
148	94.89105127
149	94.67146055
150	94.47723288
151	94.30894184
152	94.10865833
153	93.93163396
154	93.75206232
155	93.58911539
156	93.38810595
157	93.1900994
158	93.04768689
159	92.83918274
160	92.6628884
161	92.54223525
162	92.371656
163	92.18314886
164	92.03741495
165	91.8445994
166	91.68226559
167	91.53074199
168	91.35151465
169	91.22216334
170	91.01521684
171	90.869603
172	90.74950727
173	90.64457476
174	90.52091608
175	90.3954447
176	90.23117325
177	90.05209829
178	89.96133975
179	89.81283151
180	89.67213332
181	89.5441954
182	89.37998632
183	89.2792827
184	89.1336774
185	88.96665568
186	88.85976442
187	88.73016853
188	88.64565031
189	88.54252664
190	88.3975619
191	88.27265506
192	88.18680703
193	88.08210884
194	87.9649284
195	87.82004161
196	87.68658876
197	87.59811185
198	87.50820456
199	87.4035615
200	87.29624413
201	87.18259557
202	87.07102227
203	86.97308042
204	86.85743959
205	86.72753621
206	86.57151757
207	86.48043886
208	86.33378568
209	86.23584108
210	86.1610826
211	86.02754647
212	85.90563547
213	85.81318945
214	85.71908342
215	85.61941108
216	85.57081496
217	85.47518416
218	85.40707332
219	85.26293906
220	85.13375124
221	85.05047574
222	84.92717142
223	84.84245701
224	84.75320002
225	84.68367092
226	84.62084345
227	84.52758188
228	84.4347144
229	84.36090287
230	84.26856362
231	84.19167861
232	84.10938927
233	84.01727633
234	83.94735636
235	83.84299797
236	83.75912875
237	83.64308122
238	83.58583782
239	83.52418794
240	83.42813688
241	83.33016363
242	83.24690433
243	83.14948286
244	83.05816574
245	82.95971825
246	82.90024907
247	82.8107121
248	82.69230709
249	82.59448069
250	82.54772646
251	82.47976048
252	82.40802719
253	82.28010757
254	82.22732599
255	82.15657068
256	82.08083741
257	82.02536972
258	81.8905836
259	81.80858913
260	81.75322174
261	81.64394958
262	81.55304858
263	81.4793509
264	81.41143834
265	81.36140411
266	81.27260532
267	81.18310846
268	81.11858077
269	81.04320009
270	80.98107051
271	80.92142302
272	80.85200313
273	80.77533805
274	80.6936542
275	80.61981037
276	80.56870778
277	80.50684554
278	80.43215489
279	80.36982354
280	80.30593989
281	80.24851433
282	80.20566375
283	80.14201255
284	80.08558726
285	80.02517713
286	79.96823641
287	79.86671123
288	79.79930606
289	79.74025755
290	79.68205619
291	79.61729786
292	79.54763349
293	79.50120408
294	79.42762754
295	79.36645198
296	79.31378592
297	79.23623455
298	79.16097288
299	79.10288757
300	79.03885879
301	78.96312304
302	78.904269
303	78.85154342
304	78.79093787
305	78.74398769
306	78.68477512
307	78.62027439
308	78.53558449
309	78.4872891
310	78.42128959
311	78.36247414
312	78.30577634
313	78.2484082
314	78.19671338
315	78.14240366
316	78.10375445
317	78.04807348
318	77.98786702
319	77.91845967
320	77.86994266
321	77.84101234
322	77.78297539
323	77.7118433
324	77.65200703
325	77.61691159
326	77.56294364
327	77.51479064
328	77.47965956
329	77.4249969
330	77.36557437
331	77.31245032
332	77.26762395
333	77.21560161
334	77.16409733
335	77.1066155
336	77.05767545
337	77.02531044
338	76.98535143
339	76.95874416
340	76.89372104
341	76.86050715
342	76.7895655
343	76.73831177
344	76.6935843
345	76.65757466
346	76.6132763
347	76.5814599
348	76.54208157
349	76.50745163
350	76.46260096
351	76.42129898
352	76.3558076
353	76.31454763
354	76.28501644
355	76.26447389
356	76.23230774
357	76.18055043
358	76.12666784
359	76.08297858
360	76.0623724
361	76.0042886
362	75.96837706
363	75.9206811
364	75.88381502
365	75.83761653
366	75.80783104
367	75.7781865
368	75.74028064
369	75.71320316
370	75.67009972
371	75.62179098
372	75.5762993
373	75.53383746
374	75.50698841
375	75.46563267
376	75.42079609
377	75.38297522
378	75.34829674
379	75.30489356
380	75.26185447
381	75.20457295
382	75.16783594
383	75.10158572
384	75.06152476
385	75.03230542
386	74.9967375
387	74.95033551
388	74.91610809
389	74.87090093
390	74.83551543
391	74.80271589
392	74.76709701
393	74.71812286
394	74.67981356
395	74.63245294
396	74.58036434
397	74.55474197
398	74.52617066
399	74.47826245
400	74.42031187
401	74.38391818
402	74.3227169
403	74.27553
404	74.22283497
405	74.19060804
406	74.17252867
407	74.14858504
408	74.12149706
409	74.08606019
410	74.05952355
411	74.04420405
412	73.99475203
413	73.95533121
414	73.93506257
415	73.90085595
416	73.87558811
417	73.85054657
418	73.82385986
419	73.7981705
420	73.77305982
421	73.73227489
422	73.69810339
423	73.6800467
424	73.64964809
425	73.6138017
426	73.5609605
