iter	MAE
0	279.3964528
1	270.1074812
2	262.7399693
3	253.552864
4	246.4696349
5	240.1484014
6	233.6836221
7	227.2517062
8	221.426854
9	216.3173641
10	211.8795892
11	208.233474
12	204.5139059
13	199.6741268
14	195.1355369
15	190.2284398
16	186.790547
17	183.6507642
18	179.8696469
19	176.2677064
20	172.6839624
21	168.8541873
22	166.7587282
23	164.4516206
24	161.8981089
25	159.5598038
26	157.0612616
27	154.1587864
28	151.95865
29	150.3537807
30	148.2005828
31	146.0585796
32	144.2487949
33	143.286728
34	141.7569946
35	139.9446327
36	139.3511203
37	138.4573319
38	137.6919782
39	137.3228036
40	136.462846
41	134.8530753
42	133.3263685
43	132.3031152
44	131.698074
45	130.158264
46	129.0843812
47	127.9713754
48	127.4270625
49	126.4240215
50	125.1554792
51	123.4611602
52	122.3540309
53	121.9876037
54	121.3930975
55	120.1802842
56	119.4391008
57	118.7882097
58	118.2231986
59	117.6911097
60	117.3533631
61	116.9902541
62	116.6640691
63	115.4787315
64	114.9311557
65	114.0105324
66	113.3640805
67	112.8675027
68	112.4906508
69	111.8977065
70	111.4767064
71	110.6972347
72	110.2064491
73	109.9056592
74	109.3456881
75	108.6323693
76	108.3250624
77	107.6600105
78	107.2388541
79	106.8627529
80	106.5581636
81	106.2804063
82	106.1164152
83	105.4399715
84	105.2879331
85	104.5223976
86	104.3276467
87	104.1130513
88	103.9806621
89	103.8137413
90	103.5514464
91	103.2384056
92	102.9228428
93	102.4243029
94	102.2978477
95	101.8866298
96	101.7110264
97	101.3402568
98	101.2962058
99	100.8238159
100	100.3025011
101	100.2727676
102	99.87158909
103	99.75432091
104	99.27806498
105	99.03634128
106	98.52483425
107	98.12206593
108	97.94845761
109	97.78756578
110	97.65639984
111	97.41421389
112	97.14238731
113	96.67077351
114	96.40491921
115	96.09698353
116	95.88445719
117	95.8333859
118	95.61239174
119	95.59195227
120	95.25881262
121	95.13671825
122	94.78824258
123	94.63728128
124	94.36291664
125	94.00206631
126	93.89069829
127	93.70545596
128	93.22484362
129	93.04185854
130	92.92912435
131	92.68561615
132	92.59584319
133	92.19862036
134	92.08257215
135	91.80724653
136	91.41212169
137	91.14203092
138	90.79839923
139	90.52808467
140	90.29798893
141	89.95805723
142	89.46652276
143	89.36177915
144	89.07190055
145	88.70039317
146	88.4912693
147	88.32795741
148	88.0917784
149	87.65651903
150	87.51274867
151	87.40882165
152	87.16139469
153	87.00056492
154	86.88737948
155	86.42864897
156	85.96106297
157	85.5674946
158	85.43738765
159	85.289218
160	84.94247971
161	84.42606742
162	84.0003087
163	83.66263852
164	83.46006061
165	83.36876933
166	83.25426625
167	82.89726673
168	82.62625034
169	82.53208197
170	82.21043334
171	82.01750528
172	81.68238941
173	81.50488576
174	81.41536259
175	81.24821748
176	80.96824769
177	80.58577651
178	80.40823365
179	80.18169726
180	79.91568853
181	79.62346645
182	79.37223991
183	79.10084112
184	78.94357003
185	78.73666098
186	78.527764
187	78.3040054
188	78.00273494
189	77.76477229
190	77.54704847
191	77.32174766
192	77.07535298
193	76.97169222
194	76.7418153
195	76.50134271
196	76.21040595
197	75.6594824
198	75.60556107
199	75.48279321
200	75.20702538
201	75.04224155
202	74.92119078
203	74.90399156
204	74.8237475
205	74.61047877
206	74.549354
207	74.35866802
208	74.29342176
209	74.09563698
210	73.91232713
211	73.66622117
212	73.4526162
213	73.19853132
214	72.92931948
215	72.79853178
216	72.66267342
217	72.35773727
218	72.10198675
219	71.97751608
220	71.87179507
221	71.75713355
222	71.58528775
223	71.46021128
224	71.29757469
225	71.13232582
226	70.98731621
227	70.87015631
228	70.77693301
229	70.64264197
230	70.53860302
231	70.38113055
232	70.03023504
233	69.87475132
234	69.71730299
235	69.62610622
236	69.50685902
237	69.36378729
238	69.14955894
239	69.10327933
240	68.92171625
241	68.80503269
242	68.65935515
243	68.61616038
244	68.54535559
245	68.36105183
246	68.25913773
247	68.2197773
248	68.04261118
249	67.91758519
250	67.89896644
251	67.8235525
252	67.73696494
253	67.67740934
254	67.49436611
255	67.38174383
256	67.22332321
257	67.04313739
258	66.95792837
259	66.81740054
260	66.72074955
261	66.56170409
262	66.46596211
263	66.39454821
264	66.27436852
265	66.26516571
266	66.09865925
267	66.02953545
268	65.96052129
269	65.81347549
270	65.70932194
271	65.6221491
272	65.57351089
273	65.49864864
274	65.43519479
275	65.3143767
276	65.24346156
277	65.21363135
278	64.86283708
279	64.70383298
280	64.6385411
281	64.51312144
282	64.41130271
283	64.29646716
284	64.26149162
285	64.10226351
286	64.04949727
287	63.96155803
288	63.83368632
289	63.69826649
290	63.66129841
291	63.52880081
292	63.46741623
293	63.16524722
294	63.08500833
295	62.96421972
296	62.92645087
297	62.87175273
298	62.726196
299	62.61649107
300	62.58596561
301	62.50555482
302	62.36690507
303	62.23747131
304	62.14112031
305	61.94218277
306	61.87303613
307	61.76289462
308	61.72848082
309	61.69789516
310	61.49151559
311	61.40542683
312	61.38026656
313	61.34934587
314	61.16142176
315	61.02813066
316	60.85926502
317	60.75313554
318	60.60351218
319	60.51707769
320	60.48012912
321	60.43748949
322	60.34911428
323	60.30738337
324	60.26908253
325	60.21977585
326	60.0595653
327	59.9679262
328	59.84927043
329	59.78084969
330	59.67045705
331	59.58133997
332	59.40082379
333	59.30070184
334	59.25200009
335	59.18485853
336	59.11953351
337	59.03407313
338	58.94966537
339	58.75441949
340	58.67124024
341	58.3979288
342	58.34744228
343	58.2297764
344	58.1033084
345	58.06262374
346	58.04366022
347	57.99100526
348	57.88342339
349	57.74124241
350	57.56675128
351	57.49661099
352	57.45824064
353	57.35403995
354	57.31136953
355	57.26160331
356	57.1490053
357	57.08781646
358	57.02885296
359	56.97062462
360	56.95196118
361	56.87563872
362	56.827042
363	56.70104009
364	56.66598054
365	56.54190686
366	56.47365091
367	56.26781821
368	56.23831857
369	56.08700393
370	56.06205531
371	55.94511891
372	55.79481978
373	55.74799917
374	55.7167481
375	55.66298887
376	55.61700286
377	55.60701146
378	55.54388249
379	55.49525982
380	55.41083924
381	55.3601266
382	55.20215421
383	55.07215974
384	55.0172836
385	54.88686411
386	54.83124183
387	54.79637652
388	54.70679365
389	54.64763918
390	54.60400219
391	54.47070432
392	54.40297509
393	54.3793096
394	54.34791357
395	54.3157874
396	54.26762283
397	54.23961288
398	54.16424673
399	54.07689588
400	54.02925435
401	54.00883219
402	53.9808883
403	53.92599712
404	53.90797457
405	53.88671439
406	53.82274136
407	53.81663969
408	53.80073656
409	53.78373392
410	53.7247982
411	53.59044327
412	53.55871629
413	53.52100507
414	53.45667935
415	53.44234079
416	53.35356867
417	53.33775251
418	53.2812254
419	53.26766156
420	53.19988467
421	53.14315015
422	53.13306241
423	53.10593542
424	53.09703269
425	53.08722382
426	53.03010109
427	52.99389969
428	52.97035605
429	52.89098895
430	52.76296419
431	52.74509134
432	52.69933448
433	52.68136475
434	52.64609675
435	52.54564997
436	52.48200593
437	52.46309157
438	52.44151731
439	52.4342937
440	52.38778806
441	52.37074893
442	52.33987503
443	52.30763742
444	52.29106678
445	52.23546839
446	52.19241972
447	52.18010378
448	52.11722652
449	52.05696602
450	52.043632
451	52.03708058
452	51.88543817
453	51.75293473
454	51.68161439
455	51.62866105
456	51.56930794
457	51.49068272
458	51.39110298
459	51.38577079
460	51.38192331
461	51.3224426
462	51.31684229
463	51.27793113
464	51.21486753
465	51.19905117
466	51.19033777
467	51.1518306
468	51.10962894
469	51.0619926
470	51.05669655
471	51.04476076
472	51.0429209
473	50.96642114
474	50.94214723
475	50.92714007
476	50.78430786
477	50.74507914
478	50.72440428
479	50.70607923
480	50.70302726
481	50.6279988
482	50.61212258
483	50.59351435
484	50.57192357
485	50.55577802
486	50.54115629
487	50.53351305
488	50.50305178
489	50.46566143
490	50.45470561
491	50.40597957
492	50.38932178
493	50.37393503
494	50.31273644
495	50.26475664
496	50.24593626
497	50.19061851
498	50.17277577
499	50.05532174
